Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name,country
"10 Police Killed in Robberies, 1 Woman",1/13/2013,Lagos,,Lagos,11,,,,,,Robber,,,,,10,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301150862.html,http://www.punchng.com/news/six-policemen-woman-killed-in-lagos-robberies/,,,,", Lagos, Nigeria",Nigeria
Governor Aide Kidnapped and Murdered,1/13/2013,Orolo,Mbaitoli,Imo,counted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,counted already,http://www.naijahidi.org/reports/view/775,http://allafrica.com/stories/201301150369.html,,,,"Mbaitoli, Imo, Nigeria",Nigeria
Governor Aide Kidnapped and Murdered,1/13/2013,Orolo,Mbaitoli,Imo,1,,,,,Kidnapper,,,,,,1,,,,,,,,,,,,,Machete,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/775,http://allafrica.com/stories/201301150369.html,,,,"Mbaitoli, Imo, Nigeria",Nigeria
Police Kill Bandits,1/13/2013,Warri,,Delta,3,,State Actor,,,,,,,,,,,,,,,3,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301150193.html,,,,,", Delta, Nigeria",Nigeria
Several Police Killed in Kano Attacks,1/13/2013,Unguwa Uku,,Kano,counted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,counted already,http://www.naijahidi.org/reports/view/777,,,,,", Kano, Nigeria",Nigeria
Several Police Killed in Kano Attacks,1/13/2013,Unguwa Uku,,Kano,4,Boko Haram,,,,,,,,,,4,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/777,http://allafrica.com/stories/201301160536.html,,,,", Kano, Nigeria",Nigeria
Soldiers Kill 5 in Lafia,1/13/2013,Tudun Amba,Lafia,Nasarawa,5,,State Actor,,,,,,,,,,,,,,,,,5,,,,Gun,,,,,,,,,,,Other,,http://blueprintng.com/2013/01/soldiers-kill-5-in-lafia/,http://premiumtimesng.com/news/115038-security-officials-kill-two-Nasarawa-youth-in-self-defence-police-commissioner.html?utm_source=rss&utm_medium=rss&utm_campaign=security-officials-kill-two-Nasarawa-youth-in-self-defence-police-commissioner,,,,"Lafia, Nasarawa, Nigeria",Nigeria
Soldiers Kill 5 in Lafia,1/13/2013,Tudun Amba,Lafia,Nasarawa,5,,State Actor,,,,,,,,,,,5,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://blueprintng.com/2013/01/soldiers-kill-5-in-lafia/,http://premiumtimesng.com/news/115038-security-officials-kill-two-Nasarawa-youth-in-self-defence-police-commissioner.html?utm_source=rss&utm_medium=rss&utm_campaign=security-officials-kill-two-Nasarawa-youth-in-self-defence-police-commissioner,,,,"Lafia, Nasarawa, Nigeria",Nigeria
Cross River Seeks Probe Into Killings,1/14/2013,Adadama,Abi,Cross River,11,,,Sectarian Actor,,,,,,,,,11,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301240673.html,http://premiumtimesng.com/news/116158-11-feared-dead-2000-others-displaced-in-fresh-communal-crisis-in-cross-river.html?utm_source=rss&utm_medium=rss&utm_campaign=11-feared-dead-2000-others-displaced-in-fresh-communal-crisis-in-cross-river,,,,"Abi, Cross River, Nigeria",Nigeria
Sectarian Violence Kills 7,1/14/2013,,Abi,Cross River,7,,,Sectarian Actor,,,,,,,,,7,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/780,,,,,"Abi, Cross River, Nigeria",Nigeria
"2 Police Killed, 4 Civ",1/15/2013,Port Harcourt,,Rivers,6,,,,Other Armed Actor,,,,,,,2,,,,,,,,4,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301170467.html,,,,,", Rivers, Nigeria",Nigeria
"3 Police Killed, 2 Civilians",1/15/2013,Kwanar Lambu,,Kano,5,Boko Haram,,,,,,,,,,3,,,,,,,,2,,,,Gun,,,,,,,,,,,Other,,http://blueprintng.com/2013/01/gunmen-kill-3-cops-2-others-in-kano/,,,,,", Kano, Nigeria",Nigeria
4 Killed in Jos,1/15/2013,Fang,Riyom,Plateau,4,,,,Other Armed Actor,,,,,,,,,,,,,,,4,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301160155.html,http://allafrica.com/stories/201301160935.html,,,,"Riyom, Plateau, Nigeria",Nigeria
Oyo NURTW Deputy Chairman Dies of Gunshot Wounds,1/15/2013,,,Oyo,1,,,,Other Armed Actor,,,,,,,,,,1,,,,,,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/regional/116052-oyo-nurtw-leader-dies-from-gunshot-wounds-police.html?utm_source=rss&utm_medium=rss&utm_campaign=oyo-nurtw-leader-dies-from-gunshot-wounds-police,http://allafrica.com/stories/201301210543.html,,,,", Oyo, Nigeria",Nigeria
Boko Haram Die in Custody,1/15/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
Gunmen Kill Minority Leader,1/16/2013,,,Gombe,1,,,,Other Armed Actor,,,,,,,,,,1,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/778,http://allafrica.com/stories/201301180173.html,http://allafrica.com/stories/201301171242.html,,,", Gombe, Nigeria",Nigeria
"JTF kills 2 gunmen, 2 civilians, arrest 5 others in Kano",1/17/2013,Mariri,,Kano,4,,State Actor,,,,,,,,2,,,,,,,,,2,,,,,Machete,,,,,,,,,,Other,,http://thestar.com.my/news/story.asp?file=/2013/1/18/worldupdates/nigerian-forces-kill-two-islamists-in-kano-battle-arrest-five&sec=Worldupdates,http://blueprintng.com/2013/01/jtf-kills-2-gunmen-2-civilians-arrest-5-others-in-kano/,,,,", Kano, Nigeria",Nigeria
7-month-old baby killed by gunmen during attack on police officers buried in Kaduna,1/18/2013,Kawo New Extension,,Kaduna,3,Boko Haram,,,,,,,,,,2,,,,,,,,1,,,,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/news/116199-7-month-old-baby-killed-by-gunmen-during-attack-on-police-officers-buried-in-kaduna.html?utm_source=rss&utm_medium=rss&utm_campaign=7-month-old-baby-killed-by-gunmen-during-attack-on-police-officers-buried-in-kaduna,http://allafrica.com/stories/201301211576.html,,,,", Kaduna, Nigeria",Nigeria
"Boko Haram leader Shekau shot, escapes to Mali",1/18/2013,,,,0,,State Actor,,,,,,,,0,,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.vanguardngr.com/2013/01/boko-haram-leader-shekau-shot-in-mali/,,,,,", , Nigeria",Nigeria
Death Toll in Nigeria Emir Attack Rises to Five,1/19/2013,Kano,,Kano,6,Boko Haram,,,,,,,,,,,,,,,,,,6,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.naharnet.com/stories/en/69095-death-toll-in-nigeria-emir-attack-rises-to-five,http://allafrica.com/stories/201301200037.html,http://allafrica.com/stories/201301211399.html,,,", Kano, Nigeria",Nigeria
Over 30 mystery corpses found floating in a river in Nigeria,1/19/2013,Amansea,,Anambra,50,,State Actor,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,Other,,http://bulawayo24.com/index-id-news-sc-africa-byo-27218.html,,,,,", Anambra, Nigeria",Nigeria
Three Killed in Suspected Terrorist Hideout in Gombe,1/19/2013,London-Maidoruwa,,Gombe,3,,State Actor,,,,,,,,,,,,,,,,,3,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301210870.html,http://allafrica.com/stories/201301211519.html,,,,", Gombe, Nigeria",Nigeria
Three-man ‘Boko Haram’ gang killed Nigerian soldiers going to Mali,1/19/2013,Abobo,,Kogi,2,Boko Haram,,,,,,,,,,2,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://premiumtimesng.com/news/116273-three-man-boko-haram-gang-killed-nigerian-soldiers-going-to-mali.html?utm_source=rss&utm_medium=rss&utm_campaign=three-man-boko-haram-gang-killed-nigerian-soldiers-going-to-mali,http://www.globalsecurity.org/military/library/news/2013/01/mil-130121-irin03.htm,,,,", Kogi, Nigeria",Nigeria
Boko Haram Kill 13 Hunters,1/21/2013,Damboa,Damboa,Borno,18,Boko Haram,,,,,,,,,,,,,,,,,,18,,,,Gun,,,,,,,,,,,Other,,http://news.yahoo.com/nigerian-police-five-killed-islamist-stronghold-053908049.html,http://www.irishtimes.com/newspaper/world/2013/0123/1224329189105.html,http://www.punchng.com/news/gunmen-kill-23-in-borno-kano-attacks/,,,"Damboa, Borno, Nigeria",Nigeria
"Three Feared Dead As Hoodlums, Police Clash",1/21/2013,Ikotun,,Lagos,3,,State Actor,,,,,,,,,,,3,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201301220204.html,,,,,", Lagos, Nigeria",Nigeria
22 Killed In Fresh Plateau Violence,1/22/2013,Wadata,Wase,Plateau,22,,,Sectarian Actor,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,Other,,http://news2.onlinenigeria.com/news/general/242856-22-killed-in-fresh-plateau-violence.html,http://www.independent.ie/world-news/africa/at-least-9-dead-in-clashes-in-nigeria-29022740.html,,,,"Wase, Plateau, Nigeria",Nigeria
Gunmen kill five in Nigeria drive-by shooting,1/22/2013,Kano,,Kano,5,,,,Other Armed Actor,,,,,,,,,,,,,,,5,,,,Gun,,,,,,,,,,,Other,,http://www.newera.com.na/articles/50023/Gunmen-kill-five-in-Nigeria-drive-by-shooting,http://www.irishtimes.com/newspaper/world/2013/0123/1224329189105.html,,,,", Kano, Nigeria",Nigeria
"Kidnap Suspect Killed in Delta,",1/22/2013,Agharho,Ughelli North,Delta,1,,State Actor,,,,,,,,,,,,,1,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301230386.html,,,,,"Ughelli North, Delta, Nigeria",Nigeria
Nyako's aide threatened to kill us,1/22/2013,Yola,,Adamawa,0,,State Actor,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Other,,http://premiumtimesng.com/news/116682-nyakos-aide-threatened-to-kill-us-adamawa-journalists.html?utm_source=rss&utm_medium=rss&utm_campaign=nyakos-aide-threatened-to-kill-us-adamawa-journalists,,,,,", Adamawa, Nigeria",Nigeria
Boko Haram Die in Custody,1/22/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
"JTF Kills Two Suspects, Arrests Three",1/23/2013,Maiduguri,Maiduguri,Borno,2,,State Actor,,,,,,,,2,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/news-page/maiduguri-jtf-kills-two-suspects-arrests-three,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Nigerian police say five killed in Islamist stronghold,1/23/2013,Maiduguri,Maiduguri,Borno,5,,State Actor,,,,,,,,5,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://news.yahoo.com/nigerian-police-five-killed-islamist-stronghold-053908049.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Family of SS3 student allegedly killed by police seeks justice,1/24/2013,Bakin Ruwa,,Kaduna,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,,,http://premiumtimesng.com/news/154248-family-ss3-student-allegedly-killed-police-seeks-justice.html?utm_source=rss&utm_medium=rss&utm_campaign=family-ss3-student-allegedly-killed-police-seeks-justice,,,,,", Kaduna, Nigeria",Nigeria
Family of SS3 student allegedly killed by police seeks justice,1/24/2013,Bakin Ruwa,,Kaduna,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,,,http://premiumtimesng.com/news/154248-family-ss3-student-allegedly-killed-police-seeks-justice.html?utm_source=rss&utm_medium=rss&utm_campaign=family-ss3-student-allegedly-killed-police-seeks-justice,,,,,", Kaduna, Nigeria",Nigeria
Ex-NDLEA Director Killed in Borno,1/25/2013,Ngwa,Hawul,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201301280817.html,http://allafrica.com/stories/201301280538.html,,,,"Hawul, Borno, Nigeria",Nigeria
"Soldiers Killed My Brother, Friend",1/25/2013,Gombe,,Gombe,2,,State Actor,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Other,,http://allafrica.com/stories/201301300527.html,,,,,", Gombe, Nigeria",Nigeria
Civilan Killed in SS Operation,1/26/2013,Maiduguri,Maiduguri,Borno,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301280577.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
"Two Killed in SSS, Terror Suspects Gun Duel in Maiduguri",1/26/2013,Maiduguri,Maiduguri,Borno,2,,State Actor,,,,,,,,1,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201301280577.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
"Two Killed, Scores Injured As Wase Violence Escalates",1/27/2013,Lamba Wakat,Wase,Plateau,2,,,Sectarian Actor,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Other,,http://allafrica.com/stories/201301280549.html,,,,,"Wase, Plateau, Nigeria",Nigeria
Gunmen Kill Eight in Borno,1/27/2013,Gajiganna,Magumeri,Borno,8,Boko Haram,,,,,,,,,,1,,,,,,,,7,,,,,Machete,,,,,,,,,,Other,,http://allafrica.com/stories/201301290262.html,http://www.vanguardngr.com/2013/01/terrorists-slit-throats-in-embattled-borno/,,,,"Magumeri, Borno, Nigeria",Nigeria
10 feared dead as two Kwara communities clash,1/28/2013,Offa,Offa,Kwara,10,,,Sectarian Actor,,,,,,,,,10,,,,,,,,,,,,Machete,,Other,,,,,,,,Other,,http://www.punchng.com/news/10-feared-dead-as-two-kwara-communities-clash/,http://allafrica.com/stories/201301300567.html,http://allafrica.com/stories/201301300228.html,,,"Offa, Kwara, Nigeria",Nigeria
How masquerade killed Islamic scholar in Abeokuta,1/28/2013,Abeokuta,,Ogun,1,,,,Other Armed Actor,,,,,,,,1,,,,,,,,,,,,,,Other,Targeted Killing,,,,,,,Other,,http://blueprintng.com/2013/01/how-masquerade-killed-islamic-scholar-in-abeokuta/,http://allafrica.com/stories/201301310235.html,,,,", Ogun, Nigeria",Nigeria
Boko Haram Die in Custody,1/29/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
"Armed Bandits Invade Birnin Gwari Again, Kill Three Cops, Villager",1/30/2013,Birnin Gwari,Kaduna,Kaduna,4,,,,,,Robber,,,,,3,,,,,,,,1,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201302010346.html?viewall=1,http://saharareporters.com/news-page/breaking-news-gunmen-invade-birnin-gwari-township-kaduna-state-bomb-police-station-and-ban,,,,"Kaduna, Kaduna, Nigeria",Nigeria
"Fulani herdsmen, Idoma clash displaces 550 in Benue",1/30/2013,Amla,Otukpo,Benue,3,,,Sectarian Actor,,,,,,,,,3,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://www.vanguardngr.com/2013/01/fulani-herdsmen-idoma-clash-displaces-550-in-benue/,http://www.vanguardngr.com/2013/01/three-killed-as-herdsmen-farmers-clash/,,,,"Otukpo, Benue, Nigeria",Nigeria
"Gunmen attack police station, kill two",1/30/2013,Bunkure,,Kano,2,Boko Haram,,,,,,,,,,1,,,,,,,,1,,,Bomb,,,,,,,Government Building,,,,,,,http://www.iol.co.za/news/africa/gunmen-attack-police-station-kill-two-1.1462011#.UTSRGHw__ek,http://tvnz.co.nz/world-news/gunmen-kill-five-north-nigeria-police-ceasefire-in-doubt-5330950?ref=rss,,,,", Kano, Nigeria",Nigeria
18 Killed As JTF Bombs Boko Haram Training Camp In Borno,1/31/2013,,Bama,Borno,18,,State Actor,,,,,,,,16,,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://saharareporters.com/news-page/18-killed-jtf-bombs-boko-haram-training-camp-borno-premium-times,http://www.naijahidi.org/reports/view/801,http://www.boston.com/news/world/africa/2013/02/01/killed-northeast-nigeria-military-raid/WEO6RS4525t55zu8cCwU8N/story.html,,,"Bama, Borno, Nigeria",Nigeria
Armed robbers kill three policemen in Nigeria,1/31/2013,Birnin-Gwari,,Kaduna,counted already,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,counted already,http://news.xinhuanet.com/english/africa/2013-02/01/c_132142732.htm,http://tvnz.co.nz/world-news/gunmen-kill-five-north-nigeria-police-ceasefire-in-doubt-5330950?ref=rss,http://www.voanews.com/content/gunmen-bomb-police-station-banks-in-northern-nigeria/1594553.html,,,", Kaduna, Nigeria",Nigeria
Police Kill Robbers,1/31/2013,Aliade,,Benue,3,,State Actor,,,,,,,,,,,,,,,3,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302030183.html,,,,,", Benue, Nigeria",Nigeria
"Soldiers Attack Herdsmen, Kill Two Cows, Injure Others in Nasarawa",1/31/2013,Garaku,Kokona,Nasarawa,0,,State Actor,,,,,,,,,,0,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302010161.html,,,,,"Kokona, Nasarawa, Nigeria",Nigeria
Soldiers Kill Four Soccer Fans in Mubi,1/31/2013,Mubi,,Adamawa,4,,State Actor,,,,,,,,,,,,,,,,,4,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302010729.html,,,,,", Adamawa, Nigeria",Nigeria
Bauchi: Gunmen kill Two,2/1/2013,Zango,,Bauchi,2,,,,Other Armed Actor,,,,,,,,,,,,,,,2,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/798,,,,,", Bauchi, Nigeria",Nigeria
Gunmen kill 2 in Gombe,2/1/2013,Hammadu Kafi,,Gombe,2,,,,Other Armed Actor,,,,,,,1,,,,,,,,2,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/800,http://premiumtimesng.com/regional/118334-gunmen-kill-2-injure-blind-man-in-gombe.html?utm_source=rss&utm_medium=rss&utm_campaign=gunmen-kill-2-injure-blind-man-in-gombe,http://allafrica.com/stories/201302030113.html,,,", Gombe, Nigeria",Nigeria
"Gunmen kill 2, injure blind man in Gombe",2/1/2013,Gombe,,Gombe,2,,,,Other Armed Actor,,,,,,,,,,,,,,,2,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/regional/118334-gunmen-kill-2-injure-blind-man-in-gombe.html?utm_source=rss&utm_medium=rss&utm_campaign=gunmen-kill-2-injure-blind-man-in-gombe,,,,,", Gombe, Nigeria",Nigeria
Nigeria says killed 17 Islamists insurgents in helicopter strike,2/1/2013,,,Borno,18,,State Actor,,,,,,,,17,,,,,,,,,,,,Bomb,Gun,,,,,,,,,,,Other,,http://news.yahoo.com/gunmen-kill-five-north-nigeria-police-ceasefire-doubt-061401796.html,,,,,", Borno, Nigeria",Nigeria
Corps member killed,2/2/2013,Bomada,,Delta,1,,,,Other Armed Actor,,,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302040256.html?viewall=1,,,,,", Delta, Nigeria",Nigeria
Fulani Herdsmen Kill 10,2/2/2013,Iga,Doma,Nasarawa,10,,,Sectarian Actor,,,,,,,,,10,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/803,http://allafrica.com/stories/201302040683.html,,,,"Doma, Nasarawa, Nigeria",Nigeria
Lawmaker's aide killed,2/2/2013,Eku,,Delta,2,,,,Other Armed Actor,,,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302040256.html?viewall=1,,,,,", Delta, Nigeria",Nigeria
Robber Killed in Delta,2/2/2013,Oleh,,Delta,1,,State Actor,,,,,,,,,,,,,,,1,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302040256.html?viewall=1,,,,,", Delta, Nigeria",Nigeria
2 Feared Dead in Jos Sectarian Violence,2/3/2013,Doi,Jos,Plateau,2,,,Sectarian Actor,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Other,,http://blueprintng.com/2013/02/2-feared-killed-in-jos/,,,,,"Jos, Plateau, Nigeria",Nigeria
4 Terrorists Killed,2/3/2013,,Mubi,Adamawa,4,,State Actor,,,,,,,,4,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302040657.html,,,,,"Mubi, Adamawa, Nigeria",Nigeria
Navy Commander Kidnapped,2/3/2013,Warri,,Delta,0,,,,,Kidnapper,,,,,,0,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302040256.html?viewall=1,,,,,", Delta, Nigeria",Nigeria
11 Killed in Sectarian Fighting,2/4/2013,"Ngandum, Yola",,Adamawa,11,,,Sectarian Actor,,,,,,,,,11,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://blueprintng.com/2013/02/yola-11-killed-as-herdsmen-farmers-clash/,http://www.irishsun.com/index.php/sid/212342461/scat/2411cd3571b4f088,,,,", Adamawa, Nigeria",Nigeria
2 Killed by Highway Robbers,2/4/2013,Aghbaro,,Delta,3,,,,,,Robber,,,,,2,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302040256.html?viewall=1,,,,,", Delta, Nigeria",Nigeria
"2 Police, 8 Civilians Killed by Boko Haram",2/4/2013,,Gwoza,Borno,10,Boko Haram,,,,,,,,,,2,,,,,,,,8,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://www.naijahidi.org/reports/view/850,http://news.yahoo.com/gunmen-kill-eight-attacks-nigerian-bank-police-station-051238619.html,,,,"Gwoza, Borno, Nigeria",Nigeria
"2 Soldiers Killed in Delta Shootout, one retired seaman",2/5/2013,,,Bayelsa,3,,,,,,Robber,,,,,3,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://news.yahoo.com/2-soldiers-killed-nigeria-oil-delta-attack-150223819.html,http://www.vanguardngr.com/2013/02/jtf-launches-manhunt-for-soldiers-killers/,,,,", Bayelsa, Nigeria",Nigeria
6 Park Rangers Killed by Boko Haram,2/5/2013,,Maiduguri,Borno,6,Boko Haram,,,,,,,,,,6,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.trust.org/alertnet/news/nigerian-islamists-kill-6-park-rangers-in-revenge-attack,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Boko Haram Die in Custody,2/5/2013,,,Borno,45,,State Actor,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,http://blueprintng.com/new/2013/10/16/amnesty-internationals-reportjtf-kills-1000-boko-haram-detainees/,,,,,", Borno, Nigeria",Nigeria
2 Gunmen Killed in Borno,2/7/2013,,Maiduguri,Borno,2,,State Actor,,,,,,,,,,,,,,,2,,,,,,Gun,,,,,,,,,,,Other,,http://news.xinhuanet.com/english/africa/2013-02/07/c_132158112.htm,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Angry Youth Kill 2,2/7/2013,,Kwandera,Nasarawa,2,,,,Other Armed Actor,,,,,,,,,,,,,,,2,,,,,,,Other,,,,,,,,Other,,http://premiumtimesng.com/news/119318-police-confirm-two-killed-in-Nasarawa-attack.html?utm_source=rss&utm_medium=rss&utm_campaign=police-confirm-two-killed-in-Nasarawa-attack,,,,,"Kwandera, Nasarawa, Nigeria",Nigeria
White Cap Chief Killed,2/7/2013,,,Lagos,1,,,,,,Robber,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2013/02/jtf-launches-manhunt-for-soldiers-killers/,,,,,", Lagos, Nigeria",Nigeria
Vaccinators Shot Dead in Kano,2/8/2013,Hotoro,,Kano,10,Boko Haram,,,,,,,,,,,,,,,,,,10,,,,Gun,,,,,,,,,,,Other,,http://www.bbc.co.uk/news/world-africa-21381773,http://news.sciencemag.org/scienceinsider/2013/02/health-clinics-attacked-in-niger.html,http://dawn.com/2013/02/09/gunmen-kill-10-in-attacks-on-nigeria-polio-clinics/,,,", Kano, Nigeria",Nigeria
2 Policemen Killed in Gombe,2/9/2013,,,Gombe,2,,,,Other Armed Actor,,,,,,,2,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201302010404.html,,,,,", Gombe, Nigeria",Nigeria
"3 Police Dead, One Villager",2/9/2013,Birnin Gwari,,Kaduna,4,,,,,,Robber,,,,,3,,,,,,,,1,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201302010404.html?viewall=1,,,,,", Kaduna, Nigeria",Nigeria
"Policman, Civilian Shot Dead",2/9/2013,Bunkure,,Kano,2,,,,Other Armed Actor,,,,,,,1,,,,,,,,1,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201302010404.html,,,,,", Kano, Nigeria",Nigeria
3 Korean Doctors Killed,2/10/2013,Potiskum,,Yobe,3,Boko Haram,,,,,,,,,,,,,,,,,,3,,,,,Machete,,,,,,,,,,Other,,http://www.cbsnews.com/8301-202_162-57568576/nigerian-taliban-blamed-for-killing-of-3-north-korean-doctors,http://www.irishsun.com/index.php/sid/212473228/scat/b8de8e630faf3631,,,,", Yobe, Nigeria",Nigeria
5 Killed in Plateau,2/11/2013,Kassa Village,Barkin Ladi,Plateau,5,,,Sectarian Actor,,,,,,,,,5,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/811,http://premiumtimesng.com/news/119727-five-killed-in-plateau-morning-attack.html?utm_source=rss&utm_medium=rss&utm_campaign=five-killed-in-plateau-morning-attack,http://www.punchng.com/news/jos-three-farmers-two-gunmen-killed/,,,"Barkin Ladi, Plateau, Nigeria",Nigeria
Councillor Killed by Boko Haram,2/11/2013,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naijahidi.org/reports/view/812,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Robbers Kill 2 Soldiers,2/11/2013,Apapa,,Lagos,2,,,,,,Robber,,,,,2,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.punchng.com/news/robbers-kill-two-soldiers-injure-one-in-lagos/,,,,,", Lagos, Nigeria",Nigeria
"Student Dies, Shot by JTF",2/11/2013,Maiduguri,Maiduguri,Borno,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,School,,,http://saharareporters.com/news-page/maiduguri-university-student-shot-jtf-dies,,,,,"Maiduguri, Borno, Nigeria",Nigeria
