Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name,country
Attack on JTF Forces in Maiduguri,7/10/2011,Maiduguri,Maiduguri,Borno,11,Boko Haram,State Actor,,,,,,,,11,,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFLDE76A0ZF20110711,http://allafrica.com/stories/201107111377.html,http://allafrica.com/stories/201107110077.html,,,"Maiduguri, Borno, Nigeria",Nigeria
Bomb Explosion at Hotel in Kaduna,7/10/2011,"Forcados Road, Obalende",Kaduna North,Kaduna,0,Boko Haram,,,,,,,,,,,,,,,,,,0,,,Bomb,,,,,,Drinking Establishment,,,,,,,,,http://af.reuters.com/article/nigeriaNews/idAFLDE76A0ZF20110711,http://allafrica.com/stories/201107121355.html,,,"Kaduna North, Kaduna, Nigeria",Nigeria
Bomb Kills At Least Three Churchgoers in Suleja,7/10/2011,Suleja,Suleja,Niger,4,Boko Haram,,,,,,,,,,,,,,,,,,4,,,Bomb,,,,,,,,Church,,,,,,,http://www.trust.org/alertnet/news/bomb-outside-nigerian-capital-kills-three-red-cross,http://edition.cnn.com/2011/WORLD/africa/07/10/nigeria.blast.deaths/,,,"Suleja, Niger, Nigeria",Nigeria
Niger State Explosion at Church,7/11/2011,Madalla,Suleja,Niger,0,Boko Haram,,,,,,,,,,,0,,,,,,,,,,Bomb,,,,,,,,Church,,,,,,,http://dailytrust.com.ng/index.php?option=com_content&view=article&id=22984:another-bomb-blast-hits-madalla-near-suleja&catid=1:news&Itemid=2,http://allafrica.com/stories/201107130110.html,,,"Suleja, Niger, Nigeria",Nigeria
Three Dead in Baga Road Blast,7/12/2011,"Fannah Dori filling station, Baga Road, Maiduguri",Maiduguri,Borno,5,Boko Haram,,,,,,,,,3,2,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,,http://allafrica.com/stories/201107130719.html,http://allafrica.com/stories/201107130003.html,,,"Maiduguri, Borno, Nigeria",Nigeria
Violence Following Protests in Eket,7/18/2011,,Eket,Akwa Ibom,3,,State Actor,,,,,,,,,,,,,,,,,3,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/news-page/police-kill-vigilante-eket-youths-police-clash-aibom,,,,,"Eket, Akwa Ibom, Nigeria",Nigeria
Renewed Violence in Jos,7/19/2011,Jos,Jos South,Plateau,5,,,Sectarian Actor,,,,,,,,,5,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.google.com/hostednews/afp/article/ALeqM5i8sE0VWsp_7qZAt6WDBTqDMBDsHg?docId=CNG.d81a9121385076139720a70c94b6e3f2.981,http://english.ruvr.ru/2011/07/21/53504408.html,,,,"Jos South, Plateau, Nigeria",Nigeria
Bombs Explode in Maiduguri,7/22/2011,Maiduguri,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,,0,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201107251781.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Ex-Militants Killed in Bayelsa,7/23/2011,,Yenegoa,Bayelsa,5,,,,Other Armed Actor,,,,,,,,5,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201107251011.html,,,,,"Yenegoa, Bayelsa, Nigeria",Nigeria
Explosion Near the Shehu of Borno's Palace in Maiduguri,7/23/2011,Maiduguri,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201107240009.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
